DCGMI_EVENTS_COUNT;GPU0_gr_engine_active;GPU1_gr_engine_active;GPU2_gr_engine_active;GPU3_gr_engine_active;GPU4_gr_engine_active;GPU5_gr_engine_active;GPU6_gr_engine_active;GPU7_gr_engine_active;GPU0_sm_active;GPU1_sm_active;GPU2_sm_active;GPU3_sm_active;GPU4_sm_active;GPU5_sm_active;GPU6_sm_active;GPU7_sm_active;GPU0_sm_occupancy;GPU1_sm_occupancy;GPU2_sm_occupancy;GPU3_sm_occupancy;GPU4_sm_occupancy;GPU5_sm_occupancy;GPU6_sm_occupancy;GPU7_sm_occupancy;GPU0_tensor_active;GPU1_tensor_active;GPU2_tensor_active;GPU3_tensor_active;GPU4_tensor_active;GPU5_tensor_active;GPU6_tensor_active;GPU7_tensor_active;GPU0_dram_active;GPU1_dram_active;GPU2_dram_active;GPU3_dram_active;GPU4_dram_active;GPU5_dram_active;GPU6_dram_active;GPU7_dram_active;GPU0_fp64_active;GPU1_fp64_active;GPU2_fp64_active;GPU3_fp64_active;GPU4_fp64_active;GPU5_fp64_active;GPU6_fp64_active;GPU7_fp64_active;GPU0_fp32_active;GPU1_fp32_active;GPU2_fp32_active;GPU3_fp32_active;GPU4_fp32_active;GPU5_fp32_active;GPU6_fp32_active;GPU7_fp32_active;GPU0_fp16_active;GPU1_fp16_active;GPU2_fp16_active;GPU3_fp16_active;GPU4_fp16_active;GPU5_fp16_active;GPU6_fp16_active;GPU7_fp16_active;GPU0_pcie_tx_bytes;GPU1_pcie_tx_bytes;GPU2_pcie_tx_bytes;GPU3_pcie_tx_bytes;GPU4_pcie_tx_bytes;GPU5_pcie_tx_bytes;GPU6_pcie_tx_bytes;GPU7_pcie_tx_bytes;GPU0_pcie_rx_bytes;GPU1_pcie_rx_bytes;GPU2_pcie_rx_bytes;GPU3_pcie_rx_bytes;GPU4_pcie_rx_bytes;GPU5_pcie_rx_bytes;GPU6_pcie_rx_bytes;GPU7_pcie_rx_bytes;GPU0_nvlink_tx_bytes;GPU1_nvlink_tx_bytes;GPU2_nvlink_tx_bytes;GPU3_nvlink_tx_bytes;GPU4_nvlink_tx_bytes;GPU5_nvlink_tx_bytes;GPU6_nvlink_tx_bytes;GPU7_nvlink_tx_bytes;GPU0_nvlink_rx_bytes;GPU1_nvlink_rx_bytes;GPU2_nvlink_rx_bytes;GPU3_nvlink_rx_bytes;GPU4_nvlink_rx_bytes;GPU5_nvlink_rx_bytes;GPU6_nvlink_rx_bytes;GPU7_nvlink_rx_bytes;JOBID;STEPID;APPID;NODENAME;AVG_CPUFREQ_KHZ;AVG_IMCFREQ_KHZ;DEF_FREQ_KHZ;ITER_TIME_SEC;CPI;TPI;MEM_GBS;IO_MBS;PERC_MPI;DC_NODE_POWER_W;DRAM_POWER_W;PCK_POWER_W;CYCLES;INSTRUCTIONS;GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SPOPS_SINGLE;SPOPS_128;SPOPS_256;SPOPS_512;DPOPS_SINGLE;DPOPS_128;DPOPS_256;DPOPS_512;TEMP0;TEMP1;TEMP2;TEMP3;GPU0_POWER_W;GPU0_FREQ_KHZ;GPU0_MEM_FREQ_KHZ;GPU0_UTIL_PERC;GPU0_MEM_UTIL_PERC;GPU0_GFLOPS;GPU0_TEMP;GPU0_MEMTEMP;GPU1_POWER_W;GPU1_FREQ_KHZ;GPU1_MEM_FREQ_KHZ;GPU1_UTIL_PERC;GPU1_MEM_UTIL_PERC;GPU1_GFLOPS;GPU1_TEMP;GPU1_MEMTEMP;GPU2_POWER_W;GPU2_FREQ_KHZ;GPU2_MEM_FREQ_KHZ;GPU2_UTIL_PERC;GPU2_MEM_UTIL_PERC;GPU2_GFLOPS;GPU2_TEMP;GPU2_MEMTEMP;GPU3_POWER_W;GPU3_FREQ_KHZ;GPU3_MEM_FREQ_KHZ;GPU3_UTIL_PERC;GPU3_MEM_UTIL_PERC;GPU3_GFLOPS;GPU3_TEMP;GPU3_MEMTEMP;GPU4_POWER_W;GPU4_FREQ_KHZ;GPU4_MEM_FREQ_KHZ;GPU4_UTIL_PERC;GPU4_MEM_UTIL_PERC;GPU4_GFLOPS;GPU4_TEMP;GPU4_MEMTEMP;GPU5_POWER_W;GPU5_FREQ_KHZ;GPU5_MEM_FREQ_KHZ;GPU5_UTIL_PERC;GPU5_MEM_UTIL_PERC;GPU5_GFLOPS;GPU5_TEMP;GPU5_MEMTEMP;GPU6_POWER_W;GPU6_FREQ_KHZ;GPU6_MEM_FREQ_KHZ;GPU6_UTIL_PERC;GPU6_MEM_UTIL_PERC;GPU6_GFLOPS;GPU6_TEMP;GPU6_MEMTEMP;GPU7_POWER_W;GPU7_FREQ_KHZ;GPU7_MEM_FREQ_KHZ;GPU7_UTIL_PERC;GPU7_MEM_UTIL_PERC;GPU7_GFLOPS;GPU7_TEMP;GPU7_MEMTEMP;LOOPID;LOOP_NEST_LEVEL;LOOP_SIZE;TIMESTAMP;ELAPSED;DATE
12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000000;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;0.000800;0.000792;0.000760;0.000764;0.0;0.0;0.0;0.0;0.000000;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;0.000000;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;0.000000;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;69478;0;362346;spr4271;3584000;1432490;2801000;1.021218;0.514606;1.770762;0.348849;0.000000;0.000000;943.520493;29.290789;230.703490;1035312522;2011853075;0.000002;14247300;8359164;0;79;0;0;0;21032;408;0;384;40;42;0;0;67.517429;345000;1593000;0;0;0.000000;36;0;66.124000;345000;1593000;0;0;0.000000;35;0;66.036571;345000;1593000;0;0;0.000000;35;0;67.469714;345000;1593000;0;0;0.000000;36;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;1;1;1;1736954832;13;15-01-2025 16:27:12
12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000000;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;0.000762;0.000759;0.000765;0.000764;0.0;0.0;0.0;0.0;0.000000;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;0.000000;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;0.000000;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;69478;0;362346;spr4271;3584000;1500029;2801000;1.142820;0.268495;0.131553;0.269555;0.000000;0.000000;937.263671;29.129883;234.672978;6287256297;23416665129;0.000003;23093956;8392468;0;111;0;0;0;30979;506;0;0;40;42;0;0;67.530500;301750;1593000;0;0;0.000000;36;0;66.165000;345000;1593000;0;0;0.000000;35;0;66.032375;345000;1593000;0;0;0.000000;36;0;67.470875;345000;1593000;0;0;0.000000;36;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;1;1;1;1736954844;25;15-01-2025 16:27:24
12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000000;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;0.000765;0.000765;0.000764;0.000765;0.0;0.0;0.0;0.0;0.000000;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;0.000000;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;0.000000;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;69478;0;362346;spr4271;3584000;1612802;2801000;1.143019;0.274905;0.159944;0.323114;0.000000;0.000000;995.115569;29.202432;239.779174;6347820235;23090949959;0.000003;21352919;14298230;0;77;0;0;0;28839;972;0;0;40;43;0;0;67.537429;345000;1593000;0;0;0.000000;36;0;66.147429;320285;1593000;0;0;0.000000;35;0;66.053857;345000;1593000;0;0;0.000000;36;0;67.460714;345000;1593000;0;0;0.000000;36;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;1;1;1;1736954855;36;15-01-2025 16:27:35
12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000248;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;0.067527;0.000838;0.000807;0.000807;0.0;0.0;0.0;0.0;0.000442;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;0.004691;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;0.000000;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;69478;0;362346;spr4271;3584000;2072521;2801000;1.175320;0.361592;0.480345;1.159258;0.000000;0.000000;998.889494;29.603570;268.405468;10256556178;28365007972;0.000034;65568051;61066934;0;159704;0;0;0;183261;58876;0;0;43;44;0;0;87.376500;1162500;1593000;0;0;1.965450;36;0;84.329500;1162500;1593000;0;0;0.000000;35;0;81.512700;1162500;1593000;0;0;0.000000;36;0;80.108000;835500;1593000;0;0;0.000000;36;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;1;1;1;1736954867;48;15-01-2025 16:27:47
12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.658106;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;61.454370;0.000769;0.000769;0.000769;0.0;0.0;0.0;0.0;0.000000;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;24.107165;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;0.000000;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;69478;0;362346;spr4271;3584000;1605586;2801000;1.142619;0.284473;0.056920;0.429163;0.000000;0.000000;2023.563575;29.246719;244.910870;24507414419;86150199689;0.003815;516163620;27913960;0;38844124;4;0;4603936;104343;39876;0;0;46;42;0;0;386.986875;1980000;1593000;66;47;18663.091797;51;0;114.985750;1980000;1593000;0;0;0.000000;37;0;115.069875;1980000;1593000;0;0;0.000000;37;0;115.757375;1980000;1593000;0;0;0.000000;38;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;1;1;1;1736954880;61;15-01-2025 16:28:00
12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.673168;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;62.049345;0.000774;0.000769;0.000767;0.0;0.0;0.0;0.0;0.000000;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;24.155990;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;0.000000;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;69478;0;362346;spr4271;3584000;1645581;2801000;1.298922;0.343704;0.025521;0.182708;0.000000;0.000000;2174.655509;29.199109;249.828996;31961979647;92992764204;0.000005;567107614;5279519;0;31309;0;0;0;17121;13632;0;0;46;43;0;0;555.597222;1980000;1593000;100;78;18704.541016;59;0;114.871111;1980000;1593000;0;0;0.000000;37;0;114.927778;1980000;1593000;0;0;0.000000;37;0;115.635556;1980000;1593000;0;0;0.000000;38;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;1;1;1;1736954893;74;15-01-2025 16:28:13
12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.687637;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;61.450977;0.000769;0.000774;0.000774;0.0;0.0;0.0;0.0;0.000000;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;24.295301;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;0.000000;0.000000;0.000000;0.000000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;69478;0;362346;spr4271;3584000;1409184;2801000;1.001517;0.282495;0.030658;0.182763;0.000000;0.000000;2278.771276;29.166768;236.298939;16866243340;59704637250;0.000003;488864744;4466979;0;5435;0;0;0;13967;10398;0;0;46;43;0;0;555.867000;1980000;1593000;100;75;18804.314453;61;0;115.061143;1980000;1593000;0;0;0.000000;37;0;115.110571;1980000;1593000;0;0;0.000000;38;0;115.950429;1980000;1593000;0;0;0.000000;38;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;0.000000;0;0;0;0;0.000000;0;0;1;1;1;1736954908;89;15-01-2025 16:28:28
